VM_Name,Powerstate,Datacenter,Cluster,Host,OS_Version,vCPU,Memory_GB,Storage_TB,CPU_P95_Pct,Environment,Application,Database_Engine,Software_Stack,Network_VLAN,Annual_Cost_USD
VM_SAP_DB_01,poweredOn,DC-PRIMARY-01,CLS-MISSION-CRIT,esxi-mc-01.corp.local,Red Hat Enterprise Linux 8 (64-bit),64,512,24.0,34,Production,SAP S/4HANA & ERP Core Financials,Oracle Database 19c,SAP S/4HANA 2023 / Oracle 19c RAC Primary,VLAN-110-SAP-DB,185000
VM_SAP_DB_02,poweredOn,DC-PRIMARY-01,CLS-MISSION-CRIT,esxi-mc-02.corp.local,Red Hat Enterprise Linux 8 (64-bit),64,512,24.0,29,Production,SAP S/4HANA & ERP Core Financials,Oracle Database 19c,SAP S/4HANA 2023 / Oracle 19c RAC Standby,VLAN-110-SAP-DB,185000
VM_SAP_PAS_01,poweredOn,DC-PRIMARY-01,CLS-MISSION-CRIT,esxi-mc-03.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,128,4.0,42,Production,SAP S/4HANA & ERP Core Financials,None,SAP NetWeaver ABAP Primary App Server (PAS),VLAN-112-SAP-APP,68000
VM_SAP_AAS_01,poweredOn,DC-PRIMARY-01,CLS-MISSION-CRIT,esxi-mc-04.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,128,4.0,31,Production,SAP S/4HANA & ERP Core Financials,None,SAP NetWeaver Additional App Server (AAS-1),VLAN-112-SAP-APP,68000
VM_SAP_AAS_02,poweredOn,DC-PRIMARY-01,CLS-MISSION-CRIT,esxi-mc-01.corp.local,Red Hat Enterprise Linux 7 (64-bit),16,128,4.0,19,Non-Production,SAP S/4HANA & ERP Core Financials,None,SAP ERP QA & Transport Management System,VLAN-212-SAP-QA,54000
VM_SAP_WDP_01,poweredOn,DC-PRIMARY-01,CLS-DMZ-EDGE,esxi-dmz-01.corp.local,Red Hat Enterprise Linux 8 (64-bit),8,32,1.5,22,Production,SAP S/4HANA & ERP Core Financials,None,SAP Web Dispatcher & Fiori Launchpad Reverse Proxy,VLAN-102-DMZ,29000
VM_BILL_SQL_01,poweredOn,DC-PRIMARY-01,CLS-DB-TIER,esxi-db-01.corp.local,Windows Server 2012 R2 Datacenter,32,256,16.0,23,Production,National Revenue & Billing Platform,SQL Server 2012,Microsoft SQL Server 2012 Enterprise AlwaysOn Primary,VLAN-120-DB,124000
VM_BILL_SQL_02,poweredOn,DC-DR-02,CLS-DB-TIER-DR,esxi-dr-01.corp.local,Windows Server 2012 R2 Datacenter,32,256,16.0,18,Production,National Revenue & Billing Platform,SQL Server 2012,Microsoft SQL Server 2012 Enterprise AlwaysOn Secondary,VLAN-120-DB,124000
VM_BILL_API_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-01.corp.local,Windows Server 2016 Standard,8,32,1.5,16,Production,National Revenue & Billing Platform,None,Microsoft IIS 10.0 / .NET Framework 4.8 Billing Engine,VLAN-121-APP,31000
VM_BILL_API_02,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-02.corp.local,Windows Server 2016 Standard,8,32,1.5,15,Production,National Revenue & Billing Platform,None,Microsoft IIS 10.0 / .NET Framework 4.8 Billing Engine,VLAN-121-APP,31000
VM_BILL_BATCH_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-03.corp.local,Windows Server 2016 Standard,16,64,4.0,28,Production,National Revenue & Billing Platform,None,Invoice PDF Generation & Batch Settlement Worker,VLAN-121-APP,46000
VM_BILL_UAT_01,poweredOn,DC-PRIMARY-01,CLS-NONPROD,esxi-dev-01.corp.local,Windows Server 2012 R2 Standard,8,32,2.0,11,Non-Production,National Revenue & Billing Platform,SQL Server 2012,Billing UAT & Regression Test Server,VLAN-220-UAT,26000
VM_PORTAL_WEB_01,poweredOn,DC-PRIMARY-01,CLS-DMZ-EDGE,esxi-dmz-01.corp.local,Ubuntu Linux 22.04 LTS (64-bit),8,32,1.0,45,Production,Customer Digital Portal & Mobile API Gateway,None,NGINX Ingress / Spring Boot 3.2 Microservices,VLAN-101-WEB,27000
VM_PORTAL_WEB_02,poweredOn,DC-PRIMARY-01,CLS-DMZ-EDGE,esxi-dmz-02.corp.local,Ubuntu Linux 22.04 LTS (64-bit),8,32,1.0,41,Production,Customer Digital Portal & Mobile API Gateway,None,NGINX Ingress / Spring Boot 3.2 Microservices,VLAN-101-WEB,27000
VM_PORTAL_WEB_03,poweredOn,DC-PRIMARY-01,CLS-DMZ-EDGE,esxi-dmz-01.corp.local,Ubuntu Linux 22.04 LTS (64-bit),8,32,1.0,38,Production,Customer Digital Portal & Mobile API Gateway,None,NGINX Ingress / Spring Boot 3.2 Microservices,VLAN-101-WEB,27000
VM_PORTAL_WEB_04,poweredOn,DC-PRIMARY-01,CLS-NONPROD,esxi-dev-02.corp.local,Ubuntu Linux 20.04 LTS (64-bit),8,16,1.0,14,Non-Production,Customer Digital Portal & Mobile API Gateway,None,Digital Portal Staging & CI/CD Preview Node,VLAN-201-STG,19000
VM_PORTAL_PG_01,poweredOn,DC-PRIMARY-01,CLS-DB-TIER,esxi-db-02.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,64,6.0,36,Production,Customer Digital Portal & Mobile API Gateway,PostgreSQL 15,PostgreSQL 15 Patroni HA Primary Cluster,VLAN-120-DB,52000
VM_PORTAL_PG_02,poweredOn,DC-DR-02,CLS-DB-TIER-DR,esxi-dr-02.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,64,6.0,24,Production,Customer Digital Portal & Mobile API Gateway,PostgreSQL 15,PostgreSQL 15 Patroni HA Read Replica,VLAN-120-DB,52000
VM_EDW_ORA_01,poweredOn,DC-PRIMARY-01,CLS-DB-TIER,esxi-db-03.corp.local,Red Hat Enterprise Linux 7 (64-bit),32,256,35.0,26,Production,Enterprise Data Warehouse & BI Analytics,Oracle Database 19c,Oracle 19c Data Warehouse Partitioned Store,VLAN-130-EDW,162000
VM_EDW_ORA_02,poweredOn,DC-DR-02,CLS-DB-TIER-DR,esxi-dr-03.corp.local,Red Hat Enterprise Linux 7 (64-bit),32,256,35.0,19,Production,Enterprise Data Warehouse & BI Analytics,Oracle Database 19c,Oracle 19c Data Guard Standby Warehouse,VLAN-130-EDW,162000
VM_EDW_ETL_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-04.corp.local,Red Hat Enterprise Linux 7 (64-bit),16,64,8.0,29,Production,Enterprise Data Warehouse & BI Analytics,None,Informatica PowerCenter 10.5 ETL Grid Node 1,VLAN-131-ETL,58000
VM_EDW_ETL_02,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-05.corp.local,Red Hat Enterprise Linux 7 (64-bit),16,64,8.0,25,Production,Enterprise Data Warehouse & BI Analytics,None,Informatica PowerCenter 10.5 ETL Grid Node 2,VLAN-131-ETL,58000
VM_EDW_BI_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-06.corp.local,Windows Server 2019 Standard,16,64,4.0,21,Production,Enterprise Data Warehouse & BI Analytics,None,Tableau Server / SAP BusinessObjects BI Portal,VLAN-132-BI,54000
VM_GIS_SRV_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-01.corp.local,Windows Server 2019 Standard,16,64,6.0,27,Production,Esri ArcGIS Spatial & Digital Twin Platform,None,Esri ArcGIS Enterprise 10.9.1 GIS Server Primary,VLAN-140-GIS,64000
VM_GIS_SRV_02,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-02.corp.local,Windows Server 2019 Standard,16,64,6.0,22,Production,Esri ArcGIS Spatial & Digital Twin Platform,None,Esri ArcGIS GeoEvent & Image Server Node,VLAN-140-GIS,64000
VM_GIS_DB_01,poweredOn,DC-PRIMARY-01,CLS-DB-TIER,esxi-db-01.corp.local,Windows Server 2019 Datacenter,16,128,12.0,24,Production,Esri ArcGIS Spatial & Digital Twin Platform,SQL Server 2019,SQL Server 2019 Enterprise ArcSDE Spatial Geodatabase,VLAN-120-DB,82000
VM_GIS_STG_01,poweredOn,DC-PRIMARY-01,CLS-NONPROD,esxi-dev-01.corp.local,Windows Server 2019 Standard,8,32,4.0,13,Non-Production,Esri ArcGIS Spatial & Digital Twin Platform,SQL Server 2019,Esri ArcGIS Staging & Map Tile Cache Generator,VLAN-240-GIS-DEV,38000
VM_PAY_DB2_01,poweredOn,DC-PRIMARY-01,CLS-MISSION-CRIT,esxi-mc-02.corp.local,Red Hat Enterprise Linux 8 (64-bit),32,256,14.0,48,Production,Core Banking & Payment Switch (ISO-20022),IBM DB2 11.5,IBM DB2 11.5 HADR High-Throughput Ledger Primary,VLAN-150-FIN,148000
